key_retro,name_last,name_first
wilsf901,Wilson,Frank
brilf101,Brill,Frank
dohee101,Doheny,Ed
hernr801,Hernandez,Rudy
benns001,Bennett,Shayne
gerkg101,Gerken,George
freec003,Freeman,Cody
dailj101,Dailey,John
locat001,Locastro,Tim
barka001,Barkett,Andy
gords102,Gordon,Sam
zimmj003,Zimmermann,Jordan
sandr101,Sanders,Roy
beasj001,Beasley,Jeremy
cantt101,Cantwell,Tom
millj107,Mills,Jack
fordh001,Ford,Harry
lakee101,Lake,Eddie
birdk001,Bird,Kyle
hartg104,Hartman,Garrell
whitg102,Whiteley,Guerdon
makof101,Makosky,Frank
byrnj902,Byrne,Jon
baptt001,Baptist,Travis
browe105,Brown,Elmer
macwk101,MacWhorter,Keith
herry001,Herrera,Yoslán
bovet901,Bovey,Terry
kerrj102,Kerr,John
clare101,Clark,Ed
heatn001,Heaton,Neal
egbej001,Egbert,Jack
reidb102,Reid,Billy
nevip001,Nevin,Phil
whitj106,White,Jack
jennt101,Jennings,Thurman
colej106,Coleman,Jerry
laudt001,Laudner,Tim
nearh101,Nears,Henry
steej001,Steels,James
oterd001,Otero,Dan
margj101,Margoneri,Joe
assaj001,Assad,Javier
chead101,Cheadle,Dave
johna001,Johnson,Adam
plawk001,Plawecki,Kevin
smitd105,Smith,Dave
barrs101,Barry,John
keenj103,Keenan,Jimmie
holba001,Holbert,Aaron
faceu101,Face,
zaveb701,Zavestoski,Bill
kuhej101,Kuhel,Joe
duncf101,Duncan,Frank
knoxc101,Knox,Cliff
danij102,Daniels,Jack
depaj003,De Paula,Julio
chouj001,Chourio,Jackson
hovlj101,Hovlik,Joe
slusj001,Slusarski,Joe
guere801,Guerrero,Epy
chanm901,Chandler,Moses
bottr001,Bottalico,Ricky
campg001,Campero,Gustavo
milej101,Miles,Jim
ynoar001,Ynoa,Rafael
dewis101,Dewitt,Samuel
longd801,Long,Don
baked102,Baker,Del
chrim101,Chris,Mike
despo001,Despaigne,Odrisamer
rossd102,Ross,Dick
cassh101,Cassady,Harry
quisu901,Queisser,Art
raglf101,Ragland,Frank
mitcd101,Mitchell,Dale
muram101,Murakami,Masanori
wortc101,Wortman,Chuck
mcfah101,McFarland,Howie
ripla101,Ripley,Allen
hudlr001,Hudler,Rex
carrb001,Carroll,Brett
lewad101,Lewallyn,Dennis
figub001,Figueroa,Bien
zellr101,Zellars,Reid
parkc001,Parker,Clay
jacob002,Jacobsen,Bucky
harmb101,Harmon,Bob
black701,Blackstone,Kara
cruzh102,Cruz,Henry
navad002,Nava,Daniel
tannj101,Tannehill,Jesse
greer001,Greer,Rusty
gland001,Glanville,Doug
millj108,Milligan,John
schup001,Schuster,Patrick
pachj901,Pacheco,Jim
kille101,Killian,Ed
turnd001,Turnbow,Derrick
hassa002,Hassan,Alex
